energy,energy_mean,energy_var,order,order_mean,order_var
-1.0404,-1.0404,0,0.0082,0.0082,0
-1.0404,-1.0404,0,0.008,0.0081,2.00016e-08
-1.0406,-1.04047,5.96046e-08,0.0078,0.008,3.99868e-08
-1.0408,-1.04055,1.19209e-07,0.008,0.008,2.6664e-08
-1.0408,-1.0406,-1.19209e-07,0.0078,0.00796,2.79897e-08
-1.041,-1.04067,-2.38419e-08,0.0076,0.0079,4.39955e-08
-1.041,-1.04071,1.19209e-07,0.0076,0.00785714,4.95032e-08
-1.041,-1.04075,-3.40598e-08,0.0076,0.007825,5.06968e-08
-1.0414,-1.04082,1.49012e-08,0.0078,0.00782222,4.44284e-08
-1.0414,-1.04088,1.58946e-07,0.008,0.00784,4.26517e-08
-1.0416,-1.04095,-3.57628e-08,0.0078,0.00783636,3.85375e-08
-1.0416,-1.041,1.51721e-07,0.0076,0.00781667,3.96801e-08
-1.0416,-1.04105,-1.98682e-08,0.0078,0.00781539,3.63977e-08
-1.0418,-1.0411,-1.28379e-07,0.0076,0.0078,3.69067e-08
-1.0418,-1.04115,-5.10897e-08,0.0078,0.0078,3.42768e-08
-1.0418,-1.04119,1.58946e-08,0.0076,0.0077875,3.44868e-08
-1.0418,-1.04122,1.93715e-07,0.0078,0.00778824,3.23423e-08
-1.042,-1.04127,1.33234e-07,0.0076,0.00777778,3.24086e-08
-1.0422,-1.04132,2.31796e-07,0.0078,0.00777895,3.06437e-08
-1.0424,-1.04137,1.88225e-07,0.008,0.00779,3.14712e-08
-1.0426,-1.04143,3.57628e-07,0.0082,0.00780952,3.79008e-08
-1.0426,-1.04148,3.06538e-07,0.008,0.00781818,3.77494e-08
-1.0426,-1.04153,2.7093e-07,0.008,0.00782609,3.74738e-08
-1.0426,-1.04158,2.79883e-07,0.0078,0.007825,3.58741e-08
-1.0426,-1.04162,3.67562e-07,0.0078,0.007824,3.44089e-08
-1.0426,-1.04165,1.81198e-07,0.0076,0.00781538,3.49681e-08
-1.0426,-1.04169,3.02608e-07,0.0076,0.00780741,3.53404e-08
-1.043,-1.04174,2.11928e-07,0.0078,0.00780714,3.40368e-08
-1.0432,-1.04179,5.19412e-07,0.008,0.00781379,3.41071e-08
-1.0432,-1.04183,6.8237e-07,0.0078,0.00781333,3.29489e-08
-1.0432,-1.04188,7.70887e-07,0.0078,0.0078129,3.18423e-08
-1.0432,-1.04192,7.30638e-07,0.008,0.00781875,3.19278e-08
-1.0436,-1.04197,8.75443e-07,0.0082,0.0078303,3.5335e-08
-1.044,-1.04203,1.20654e-06,0.0084,0.00784706,4.38249e-08
-1.044,-1.04209,1.26222e-06,0.0084,0.00786286,5.12673e-08
-1.044,-1.04214,1.39645e-06,0.0082,0.00787222,5.29804e-08
-1.044,-1.04219,1.32455e-06,0.0084,0.00788648,5.90426e-08
-1.044,-1.04224,1.46917e-06,0.0082,0.00789473,6.00276e-08
