energy,energy_mean,energy_var,order,order_mean,order_var
-1.34,-1.34,0,0.36,0.36,0
-1.32,-1.33,0.000155297,0.38,0.37,0.000176265
-1.28,-1.31333,0.000724858,0.4,0.38,0.000352549
-1.28,-1.305,0.000698914,0.42,0.39,0.000587601
-1.28,-1.3,0.000621697,0.44,0.4,0.000881359
-1.28,-1.29667,0.000549068,0.44,0.406667,0.000940137
-1.3,-1.29714,0.000458714,0.46,0.414286,0.00114159
-1.28,-1.295,0.000421864,0.44,0.4175,0.00105135
-1.28,-1.29333,0.000388474,0.42,0.417778,0.000920524
-1.28,-1.292,0.000359201,0.42,0.418,0.000818651
-1.26,-1.28909,0.000395614,0.4,0.416364,0.000762738
-1.26,-1.28667,0.000414361,0.38,0.413333,0.000790506
-1.26,-1.28462,0.000422444,0.4,0.412308,0.000736696
-1.24,-1.28143,0.000500575,0.38,0.41,0.000745743
-1.24,-1.27867,0.000553362,0.38,0.408,0.000745359
-1.26,-1.2775,0.000533362,0.4,0.4075,0.000699177
-1.24,-1.27529,0.000564225,0.38,0.405882,0.000694685
-1.22,-1.27222,0.00066341,0.36,0.403333,0.000756907
-1.22,-1.26947,0.000737817,0.38,0.402105,0.00074009
-1.24,-1.268,0.000732727,0.4,0.402,0.000701341
-1.24,-1.26667,0.000725034,0.4,0.401905,0.000666471
-1.24,-1.26545,0.000715714,0.38,0.400909,0.000653942
-1.24,-1.26435,0.000705306,0.38,0.4,0.000640964
-1.24,-1.26333,0.000693741,0.38,0.399167,0.000627783
-1.24,-1.2624,0.000682029,0.38,0.3984,0.000614586
-1.22,-1.26077,0.000708625,0.4,0.398462,0.000590105
-1.22,-1.25926,0.000729072,0.4,0.398519,0.000567481
-1.22,-1.25786,0.000744598,0.4,0.398571,0.000546541
-1.22,-1.25655,0.000756476,0.4,0.398621,0.000527106
-1.24,-1.256,0.000737182,0.42,0.399333,0.000522362
-1.24,-1.25548,0.000718928,0.4,0.399355,0.00050498
-1.24,-1.255,0.000701544,0.4,0.399375,0.000488712
-1.24,-1.25455,0.000684969,0.38,0.398788,0.00048346
-1.2,-1.25294,0.000731965,0.36,0.397647,0.000507816
-1.18,-1.25086,0.000828569,0.34,0.396,0.000576562
-1.2,-1.24944,0.000860839,0.36,0.395,0.000591851
-1.2,-1.24811,0.000888186,0.36,0.394054,0.000604597
-1.18,-1.24632,0.00095898,0.38,0.393684,0.000592843
-1.2,-1.24513,0.000976458,0.4,0.393846,0.000578154
-1.2,-1.244,0.00099093,0.42,0.3945,0.000578381
-1.16,-1.24195,0.00109972,0.4,0.394634,0.000564579
-1.16,-1.24,0.00119717,0.4,0.394762,0.000551421
-1.18,-1.2386,0.00123371,0.42,0.395349,0.000551351
-1.22,-1.23818,0.00121106,0.4,0.395454,0.000538963
-1.24,-1.23822,0.00118373,0.42,0.396,0.000538538
-1.26,-1.2387,0.00116543,0.44,0.396956,0.000563636
-1.26,-1.23915,0.00114769,0.44,0.397872,0.000586094
-1.26,-1.23958,0.00113025,0.44,0.39875,0.000606224
-1.26,-1.24,0.00111333,0.44,0.399592,0.000624191
-1.3,-1.2412,0.00114664,0.46,0.4008,0.000675792
-1.3,-1.24235,0.00117622,0.46,0.401961,0.000722833
-1.3,-1.24346,0.00120282,0.46,0.403077,0.00076578
-1.3,-1.24453,0.00122649,0.46,0.404151,0.000804935
-1.32,-1.24593,0.0012853,0.48,0.405555,0.000883647
-1.32,-1.24727,0.00133896,0.48,0.406909,0.000956069
-1.32,-1.24857,0.00138802,0.46,0.407857,0.000983101
-1.32,-1.24982,0.00143269,0.46,0.408772,0.00100758
-1.34,-1.25138,0.0015165,0.48,0.41,0.00106701
-1.34,-1.25288,0.00159387,0.48,0.411186,0.00112182
-1.34,-1.25433,0.00166522,0.48,0.412333,0.00117236
-1.38,-1.25639,0.00183874,0.5,0.41377,0.00126384
-1.4,-1.25871,0.0020669,0.52,0.415484,0.00140354
-1.4,-1.26095,0.00227947,0.52,0.417143,0.00153371
-1.44,-1.26375,0.00263247,0.54,0.419062,0.00171721
-1.42,-1.26615,0.00288302,0.52,0.420615,0.00182854
-1.4,-1.26818,0.00304953,0.5,0.421818,0.00188454
-1.4,-1.27015,0.00320481,0.5,0.422985,0.00193639
-1.4,-1.27206,0.00334962,0.48,0.423823,0.00194963
-1.4,-1.27391,0.00348467,0.46,0.424348,0.00193768
-1.42,-1.276,0.00367077,0.48,0.425143,0.00194859
-1.42,-1.27803,0.00384527,0.48,0.425915,0.00195811
-1.44,-1.28028,0.00407429,0.5,0.426944,0.00199772
-1.4,-1.28192,0.00417012,0.48,0.427671,0.00200398
-1.38,-1.28324,0.00421419,0.46,0.428108,0.00198896
-1.36,-1.28427,0.00421805,0.44,0.428267,0.00196373
-1.36,-1.28526,0.00422052,0.44,0.428421,0.00193915
-1.36,-1.28623,0.00422135,0.44,0.428571,0.00191517
-1.34,-1.28692,0.00419532,0.42,0.428461,0.00189115
-1.38,-1.2881,0.00422671,0.44,0.428607,0.00186842
-1.36,-1.289,0.00422356,0.42,0.4285,0.00184561
-1.36,-1.28988,0.0042191,0.44,0.428642,0.00182397
-1.36,-1.29073,0.00421345,0.44,0.42878,0.00180286
-1.36,-1.29157,0.00420693,0.44,0.428915,0.00178222
-1.36,-1.29238,0.00419957,0.44,0.429047,0.00176205
-1.36,-1.29318,0.00419143,0.44,0.429176,0.00174233
-1.36,-1.29395,0.00418251,0.44,0.429302,0.00172303
-1.36,-1.29471,0.0041727,0.42,0.429195,0.00170388
-1.36,-1.29545,0.00416256,0.42,0.429091,0.00168518
-1.34,-1.29596,0.00413256,0.4,0.428764,0.00167439
-1.36,-1.29667,0.0041216,0.38,0.428222,0.00167887
-1.32,-1.29692,0.00408041,0.36,0.427472,0.00170527
-1.32,-1.29717,0.00404012,0.34,0.426521,0.00175983
-1.32,-1.29742,0.00400046,0.34,0.425591,0.00181165
-1.32,-1.29766,0.00396179,0.34,0.424681,0.00186087
-1.32,-1.29789,0.00392356,0.34,0.423789,0.0019076
-1.32,-1.29812,0.0038864,0.34,0.422916,0.00195196
-1.3,-1.29814,0.00384577,0.32,0.421855,0.00202786
-1.3,-1.29816,0.0038061,0.32,0.420816,0.00210027
-1.3,-1.29818,0.00376727,0.34,0.42,0.00213699
-1.3,-1.2982,0.00372912,0.34,0.4192,0.0021718
-1.28,-1.29802,0.00369458,0.32,0.418218,0.00223595
-1.28,-1.29784,0.00366052,0.3,0.417059,0.0023346
-1.28,-1.29767,0.00362721,0.28,0.415728,0.00247245
-1.28,-1.2975,0.00359424,0.26,0.41423,0.00265398
-1.28,-1.29733,0.00356188,0.26,0.412762,0.00282813
-1.3,-1.29736,0.00352811,0.28,0.411509,0.00294778
-1.3,-1.29738,0.00349493,0.28,0.41028,0.00306242
-1.3,-1.29741,0.00346217,0.3,0.409259,0.00313304
-1.3,-1.29743,0.00342994,0.32,0.40844,0.00316846
-1.3,-1.29745,0.00339859,0.32,0.407636,0.00320209
-1.3,-1.29748,0.00336791,0.3,0.406666,0.00326498
-1.3,-1.2975,0.00333727,0.3,0.405714,0.00332509
-1.3,-1.29752,0.00330756,0.32,0.404955,0.0033527
-1.3,-1.29754,0.00327826,0.34,0.404386,0.00335566
-1.3,-1.29757,0.00324948,0.32,0.403652,0.00338081
-1.28,-1.29741,0.00322325,0.3,0.402758,0.00343305
-1.28,-1.29727,0.00319755,0.3,0.40188,0.00348298
-1.28,-1.29712,0.00317215,0.3,0.401017,0.00353077
-1.28,-1.29698,0.00314719,0.28,0.4,0.00360932
-1.28,-1.29683,0.00312275,0.26,0.398833,0.00372296
-1.28,-1.29669,0.00309844,0.28,0.397851,0.00379481
-1.28,-1.29656,0.00307464,0.28,0.396885,0.0038638
-1.28,-1.29642,0.00305122,0.28,0.395935,0.00393003
-1.28,-1.29629,0.00302808,0.28,0.395,0.00399362
-1.28,-1.29616,0.00300551,0.28,0.39408,0.00405466
-1.28,-1.29603,0.00298309,0.28,0.393174,0.00411327
-1.28,-1.29591,0.00296092,0.28,0.392283,0.00416952
-1.3,-1.29594,0.00293758,0.3,0.391562,0.00419534
-1.3,-1.29597,0.00291477,0.32,0.391007,0.00419754
-1.3,-1.296,0.00289205,0.34,0.390615,0.00418266
-1.3,-1.29603,0.00286982,0.32,0.390076,0.00418403
-1.34,-1.29636,0.00285938,0.34,0.389697,0.00416882
-1.32,-1.29654,0.00284079,0.36,0.389473,0.00414308
-1.32,-1.29672,0.00282244,0.36,0.389253,0.00411767
-1.32,-1.29689,0.00280449,0.36,0.389037,0.00409251
-1.34,-1.29721,0.00279454,0.38,0.38897,0.00406273
-1.34,-1.29752,0.0027843,0.36,0.388759,0.00403825
-1.34,-1.29783,0.00277409,0.36,0.38855,0.00401405
-1.32,-1.29799,0.00275677,0.34,0.388201,0.00399989
-1.32,-1.29814,0.00273952,0.34,0.387857,0.00398576
-1.32,-1.2983,0.00272262,0.32,0.387376,0.00398606
-1.32,-1.29845,0.00270578,0.34,0.387042,0.00397174
-1.32,-1.2986,0.00268925,0.32,0.386573,0.00397146
-1.32,-1.29875,0.00267279,0.34,0.38625,0.00395698
-1.32,-1.2989,0.00265655,0.34,0.385931,0.0039425
-1.32,-1.29904,0.00264056,0.34,0.385616,0.00392805
-1.32,-1.29918,0.00262471,0.34,0.385306,0.00391363
-1.32,-1.29933,0.00260885,0.32,0.384865,0.0039124
-1.32,-1.29946,0.00259346,0.32,0.384429,0.00391084
-1.32,-1.2996,0.00257819,0.32,0.384,0.003909
-1.36,-1.3,0.00257982,0.34,0.383708,0.00389423
-1.36,-1.3004,0.00258089,0.34,0.383421,0.00387952
-1.36,-1.30079,0.00258194,0.34,0.383137,0.00386484
-1.36,-1.30117,0.00258297,0.34,0.382857,0.00385023
-1.36,-1.30155,0.00258334,0.32,0.382451,0.00384771
-1.36,-1.30192,0.0025837,0.3,0.381923,0.00386127
-1.34,-1.30217,0.00257426,0.28,0.381274,0.00389486
-1.34,-1.30241,0.00256492,0.28,0.380633,0.00392727
-1.34,-1.30264,0.00255557,0.3,0.380125,0.00393845
-1.32,-1.30275,0.00254064,0.32,0.37975,0.0039336
-1.34,-1.30298,0.00253155,0.34,0.379503,0.00391766
-1.32,-1.30309,0.00251702,0.32,0.379135,0.00391257
-1.32,-1.30319,0.00250252,0.34,0.378895,0.00389671
-1.3,-1.30317,0.00248702,0.32,0.378536,0.00389144
-1.28,-1.30303,0.0024746,0.3,0.37806,0.00390068
-1.28,-1.30289,0.00246222,0.28,0.37747,0.00392808
-1.28,-1.30276,0.00244949,0.28,0.376886,0.00395457
-1.28,-1.30262,0.00243742,0.26,0.37619,0.00400258
-1.26,-1.30237,0.00243145,0.28,0.375621,0.00402701
-1.26,-1.30212,0.00242499,0.26,0.374941,0.0040725
-1.26,-1.30187,0.00241903,0.26,0.374269,0.00411664
-1.26,-1.30163,0.00241286,0.26,0.373604,0.00415947
-1.26,-1.30139,0.00240676,0.26,0.372948,0.00420102
-1.26,-1.30115,0.0024006,0.26,0.372299,0.00424135
-1.26,-1.30091,0.0023941,0.28,0.371771,0.00425989
-1.26,-1.30068,0.00238808,0.28,0.37125,0.00427773
-1.26,-1.30045,0.00238184,0.28,0.370734,0.00429488
-1.26,-1.30023,0.00237568,0.26,0.370112,0.00433133
-1.26,-1.3,0.00236931,0.28,0.369609,0.00434699
-1.24,-1.29967,0.00237159,0.26,0.369,0.00438151
-1.24,-1.29934,0.00237357,0.28,0.368508,0.00439575
-1.24,-1.29901,0.00237553,0.28,0.368022,0.0044094
-1.26,-1.2988,0.0023688,0.3,0.36765,0.00440745
-1.26,-1.29859,0.00236227,0.3,0.367282,0.00440526
-1.26,-1.29838,0.0023558,0.3,0.366919,0.00440288
-1.26,-1.29817,0.00234941,0.28,0.366451,0.00441488
-1.28,-1.29808,0.00233821,0.3,0.366096,0.00441194
-1.28,-1.29798,0.00232686,0.3,0.365744,0.00440883
-1.28,-1.29788,0.0023159,0.3,0.365397,0.00440551
-1.26,-1.29768,0.00230966,0.28,0.364947,0.00441605
-1.26,-1.29749,0.00230362,0.26,0.364398,0.0044436
-1.26,-1.29729,0.0022972,0.24,0.36375,0.0044914
-1.26,-1.2971,0.00229085,0.26,0.363212,0.00451714
-1.3,-1.29711,0.00227898,0.24,0.362577,0.00456271
-1.26,-1.29692,0.00227273,0.22,0.361846,0.00463108
-1.26,-1.29673,0.00226654,0.22,0.361122,0.00469778
-1.28,-1.29665,0.0022559,0.24,0.360507,0.00473947
-1.24,-1.29636,0.00225715,0.26,0.36,0.00476037
-1.24,-1.29608,0.00225821,0.26,0.359497,0.00478059
-1.26,-1.2959,0.00225191,0.28,0.3591,0.00478444
-1.26,-1.29572,0.00224546,0.28,0.358706,0.00478795
-1.26,-1.29554,0.0022392,0.3,0.358416,0.00477915
-1.26,-1.29537,0.00223264,0.3,0.358128,0.0047703
-1.26,-1.2952,0.00222637,0.32,0.357941,0.00475309
-1.3,-1.29522,0.00221569,0.34,0.357853,0.00473119
-1.32,-1.29534,0.00220718,0.36,0.357864,0.00470812
-1.32,-1.29546,0.00219864,0.36,0.357874,0.00468528
-1.32,-1.29558,0.00219018,0.36,0.357884,0.00466266
-1.36,-1.29589,0.00219531,0.38,0.35799,0.00464232
-1.36,-1.29619,0.00219992,0.38,0.358095,0.00462214
-1.34,-1.2964,0.00219653,0.36,0.358104,0.00460014
-1.34,-1.2966,0.00219317,0.34,0.358019,0.00457971
-1.38,-1.297,0.002208,0.36,0.358028,0.00455813
-1.38,-1.29738,0.00222252,0.36,0.358037,0.00453673
-1.38,-1.29777,0.00223691,0.36,0.358046,0.00451555
-1.38,-1.29815,0.00225065,0.36,0.358055,0.00449456
-1.38,-1.29853,0.00226427,0.34,0.357972,0.00447507
-1.38,-1.2989,0.0022772,0.34,0.35789,0.00445578
-1.38,-1.29927,0.0022901,0.36,0.357899,0.00443535
-1.38,-1.29964,0.00230246,0.36,0.357909,0.0044151
-1.36,-1.29991,0.00230472,0.38,0.358009,0.00439698
-1.34,-1.30009,0.00230027,0.36,0.358018,0.00437709
-1.3,-1.30009,0.00228995,0.34,0.357937,0.00435867
-1.3,-1.30009,0.00227952,0.36,0.357946,0.00433914
-1.3,-1.30009,0.00226958,0.36,0.357955,0.00431977
-1.3,-1.30009,0.00225974,0.36,0.357964,0.0043006
-1.3,-1.30009,0.00224982,0.36,0.357973,0.00428158
-1.28,-1.3,0.00224141,0.34,0.357895,0.00426397
-1.28,-1.29991,0.00223271,0.36,0.357904,0.00424529
-1.28,-1.29983,0.00222445,0.36,0.357913,0.00422677
-1.28,-1.29974,0.00221605,0.34,0.357835,0.00420961
-1.26,-1.29957,0.00221157,0.32,0.357672,0.00419684
-1.24,-1.29931,0.00221403,0.3,0.357425,0.00419132
-1.26,-1.29915,0.00220959,0.32,0.357265,0.0041786
-1.24,-1.29889,0.0022119,0.3,0.357021,0.00417303
-1.22,-1.29856,0.00222287,0.28,0.356695,0.00417743
-1.22,-1.29823,0.00223385,0.3,0.356455,0.00417169
-1.2,-1.29782,0.00225568,0.28,0.356134,0.00417573
-1.2,-1.29741,0.00227719,0.28,0.355816,0.00417956
-1.2,-1.297,0.0022982,0.26,0.355416,0.00419579
-1.18,-1.29651,0.00233304,0.24,0.354938,0.00422702
-1.18,-1.29603,0.00236696,0.22,0.35438,0.00427579
-1.22,-1.29572,0.00237573,0.24,0.353909,0.00430558
-1.22,-1.29541,0.0023842,0.26,0.353524,0.00431971
-1.22,-1.2951,0.00239248,0.26,0.353143,0.00433347
-1.2,-1.29472,0.00241125,0.24,0.352683,0.00436165
-1.2,-1.29433,0.00242948,0.26,0.352307,0.00437456
-1.2,-1.29395,0.00244736,0.24,0.351855,0.00440169
-1.18,-1.29349,0.00247794,0.22,0.351325,0.00444548
