"pressure [MPa]","density [g/ml]","viscosity [Pa*s]","enthalpy [kJ/kg]"
0.01000,5.42249735e-05,1.33468824e-05,2.73866967e+03
0.02000,1.08564586e-04,1.33392164e-05,2.73777598e+03
0.03000,1.63020269e-04,1.33315427e-05,2.73687599e+03
0.04000,2.17593469e-04,1.33238611e-05,2.73596970e+03
0.05000,2.72285656e-04,1.33161713e-05,2.73505707e+03
0.06000,3.27098274e-04,1.33084733e-05,2.73413810e+03
0.07000,3.82032858e-04,1.33007668e-05,2.73321274e+03
0.08000,4.37090877e-04,1.32930518e-05,2.73228095e+03
0.09000,4.92273929e-04,1.32853280e-05,2.73134268e+03
0.10000,5.47583491e-04,1.32775953e-05,2.73039785e+03
0.11000,6.03021199e-04,1.32698535e-05,2.72944635e+03
0.12000,6.58588683e-04,1.32621024e-05,2.72848806e+03
0.13000,7.14287623e-04,1.32543419e-05,2.72752281e+03
0.14000,7.70119796e-04,1.32465717e-05,2.72655038e+03
0.15000,8.26086967e-04,1.32387917e-05,2.72557050e+03
0.16000,8.82190939e-04,1.32310016e-05,2.72458286e+03
0.17000,9.38433866e-04,1.32232013e-05,2.72358706e+03
0.18000,9.94817771e-04,1.32153904e-05,2.72258262e+03
0.19000,1.05134481e-03,1.32075688e-05,2.72156898e+03
0.20000,1.10801757e-03,1.31997361e-05,2.72054546e+03
0.21000,1.16483848e-03,1.31918921e-05,2.71951130e+03
0.22000,1.22181054e-03,1.31840364e-05,2.71846558e+03
0.23000,1.27893674e-03,1.31761687e-05,2.71740725e+03
0.24000,1.33622039e-03,1.31682885e-05,2.71633511e+03
0.25000,9.37486187e-01,2.18624708e-04,5.32949478e+02
0.26000,9.37491323e-01,2.18627333e-04,5.32956326e+02
0.27000,9.37496459e-01,2.18629958e-04,5.32963174e+02
0.28000,9.37501595e-01,2.18632583e-04,5.32970022e+02
0.29000,9.37506731e-01,2.18635208e-04,5.32976870e+02
0.30000,9.37511867e-01,2.18637832e-04,5.32983718e+02
0.31000,9.37517002e-01,2.18640457e-04,5.32990566e+02
0.32000,9.37522137e-01,2.18643082e-04,5.32997414e+02
0.33000,9.37527273e-01,2.18645706e-04,5.33004262e+02
0.34000,9.37532407e-01,2.18648331e-04,5.33011111e+02
0.35000,9.37537542e-01,2.18650955e-04,5.33017959e+02
0.36000,9.37542677e-01,2.18653580e-04,5.33024807e+02
0.37000,9.37547811e-01,2.18656204e-04,5.33031656e+02
0.38000,9.37552945e-01,2.18658829e-04,5.33038505e+02
0.39000,9.37558079e-01,2.18661453e-04,5.33045353e+02
0.40000,9.37563213e-01,2.18664077e-04,5.33052202e+02
0.41000,9.37568347e-01,2.18666701e-04,5.33059051e+02
0.42000,9.37573480e-01,2.18669326e-04,5.33065900e+02
0.43000,9.37578614e-01,2.18671950e-04,5.33072749e+02
0.44000,9.37583747e-01,2.18674574e-04,5.33079598e+02
0.45000,9.37588880e-01,2.18677198e-04,5.33086447e+02
0.46000,9.37594012e-01,2.18679822e-04,5.33093296e+02
0.47000,9.37599145e-01,2.18682446e-04,5.33100146e+02
0.48000,9.37604277e-01,2.18685070e-04,5.33106995e+02
0.49000,9.37609410e-01,2.18687694e-04,5.33113845e+02
0.50000,9.37614542e-01,2.18690318e-04,5.33120694e+02
0.51000,9.37619674e-01,2.18692941e-04,5.33127544e+02
0.52000,9.37624805e-01,2.18695565e-04,5.33134393e+02
0.53000,9.37629937e-01,2.18698189e-04,5.33141243e+02
0.54000,9.37635068e-01,2.18700812e-04,5.33148093e+02
0.55000,9.37640199e-01,2.18703436e-04,5.33154943e+02
0.56000,9.37645330e-01,2.18706060e-04,5.33161793e+02
0.57000,9.37650461e-01,2.18708683e-04,5.33168643e+02
0.58000,9.37655592e-01,2.18711307e-04,5.33175493e+02
0.59000,9.37660722e-01,2.18713930e-04,5.33182343e+02
0.60000,9.37665853e-01,2.18716554e-04,5.33189194e+02
0.61000,9.37670983e-01,2.18719177e-04,5.33196044e+02
0.62000,9.37676113e-01,2.18721800e-04,5.33202895e+02
0.63000,9.37681242e-01,2.18724423e-04,5.33209745e+02
0.64000,9.37686372e-01,2.18727047e-04,5.33216596e+02
0.65000,9.37691501e-01,2.18729670e-04,5.33223446e+02
0.66000,9.37696631e-01,2.18732293e-04,5.33230297e+02
0.67000,9.37701760e-01,2.18734916e-04,5.33237148e+02
0.68000,9.37706889e-01,2.18737539e-04,5.33243999e+02
0.69000,9.37712017e-01,2.18740162e-04,5.33250850e+02
0.70000,9.37717146e-01,2.18742785e-04,5.33257701e+02
0.71000,9.37722274e-01,2.18745408e-04,5.33264552e+02
0.72000,9.37727402e-01,2.18748031e-04,5.33271403e+02
0.73000,9.37732530e-01,2.18750654e-04,5.33278255e+02
0.74000,9.37737658e-01,2.18753276e-04,5.33285106e+02
0.75000,9.37742786e-01,2.18755899e-04,5.33291957e+02
0.76000,9.37747913e-01,2.18758522e-04,5.33298809e+02
0.77000,9.37753041e-01,2.18761145e-04,5.33305660e+02
0.78000,9.37758168e-01,2.18763767e-04,5.33312512e+02
0.79000,9.37763295e-01,2.18766390e-04,5.33319364e+02
0.80000,9.37768421e-01,2.18769012e-04,5.33326216e+02
0.81000,9.37773548e-01,2.18771635e-04,5.33333068e+02
0.82000,9.37778674e-01,2.18774257e-04,5.33339920e+02
0.83000,9.37783801e-01,2.18776880e-04,5.33346772e+02
0.84000,9.37788927e-01,2.18779502e-04,5.33353624e+02
0.85000,9.37794053e-01,2.18782124e-04,5.33360476e+02
0.86000,9.37799178e-01,2.18784746e-04,5.33367328e+02
0.87000,9.37804304e-01,2.18787369e-04,5.33374181e+02
0.88000,9.37809429e-01,2.18789991e-04,5.33381033e+02
0.89000,9.37814554e-01,2.18792613e-04,5.33387885e+02
0.90000,9.37819679e-01,2.18795235e-04,5.33394738e+02
0.91000,9.37824804e-01,2.18797857e-04,5.33401591e+02
0.92000,9.37829929e-01,2.18800479e-04,5.33408443e+02
0.93000,9.37835053e-01,2.18803101e-04,5.33415296e+02
0.94000,9.37840177e-01,2.18805723e-04,5.33422149e+02
0.95000,9.37845302e-01,2.18808345e-04,5.33429002e+02
0.96000,9.37850425e-01,2.18810967e-04,5.33435855e+02
0.97000,9.37855549e-01,2.18813588e-04,5.33442708e+02
0.98000,9.37860673e-01,2.18816210e-04,5.33449561e+02
0.99000,9.37865796e-01,2.18818832e-04,5.33456415e+02
1.00000,9.37870919e-01,2.18821453e-04,5.33463268e+02
1.01000,9.37876042e-01,2.18824075e-04,5.33470121e+02
1.02000,9.37881165e-01,2.18826697e-04,5.33476975e+02
1.03000,9.37886288e-01,2.18829318e-04,5.33483828e+02
1.04000,9.37891411e-01,2.18831940e-04,5.33490682e+02
1.05000,9.37896533e-01,2.18834561e-04,5.33497536e+02
1.06000,9.37901655e-01,2.18837182e-04,5.33504389e+02
1.07000,9.37906777e-01,2.18839804e-04,5.33511243e+02
1.08000,9.37911899e-01,2.18842425e-04,5.33518097e+02
1.09000,9.37917021e-01,2.18845046e-04,5.33524951e+02
1.10000,9.37922142e-01,2.18847668e-04,5.33531805e+02
1.11000,9.37927263e-01,2.18850289e-04,5.33538660e+02
1.12000,9.37932384e-01,2.18852910e-04,5.33545514e+02
1.13000,9.37937505e-01,2.18855531e-04,5.33552368e+02
1.14000,9.37942626e-01,2.18858152e-04,5.33559222e+02
1.15000,9.37947747e-01,2.18860773e-04,5.33566077e+02
1.16000,9.37952867e-01,2.18863394e-04,5.33572931e+02
1.17000,9.37957987e-01,2.18866015e-04,5.33579786e+02
1.18000,9.37963107e-01,2.18868636e-04,5.33586641e+02
1.19000,9.37968227e-01,2.18871256e-04,5.33593496e+02
1.20000,9.37973347e-01,2.18873877e-04,5.33600350e+02
1.21000,9.37978466e-01,2.18876498e-04,5.33607205e+02
1.22000,9.37983586e-01,2.18879119e-04,5.33614060e+02
1.23000,9.37988705e-01,2.18881739e-04,5.33620915e+02
1.24000,9.37993824e-01,2.18884360e-04,5.33627770e+02
1.25000,9.37998943e-01,2.18886980e-04,5.33634626e+02
1.26000,9.38004061e-01,2.18889601e-04,5.33641481e+02
1.27000,9.38009180e-01,2.18892221e-04,5.33648336e+02
1.28000,9.38014298e-01,2.18894842e-04,5.33655192e+02
1.29000,9.38019416e-01,2.18897462e-04,5.33662047e+02
1.30000,9.38024534e-01,2.18900083e-04,5.33668903e+02
1.31000,9.38029652e-01,2.18902703e-04,5.33675759e+02
1.32000,9.38034770e-01,2.18905323e-04,5.33682614e+02
1.33000,9.38039887e-01,2.18907943e-04,5.33689470e+02
1.34000,9.38045004e-01,2.18910564e-04,5.33696326e+02
1.35000,9.38050121e-01,2.18913184e-04,5.33703182e+02
1.36000,9.38055238e-01,2.18915804e-04,5.33710038e+02
1.37000,9.38060355e-01,2.18918424e-04,5.33716894e+02
1.38000,9.38065472e-01,2.18921044e-04,5.33723750e+02
1.39000,9.38070588e-01,2.18923664e-04,5.33730607e+02
1.40000,9.38075704e-01,2.18926284e-04,5.33737463e+02
1.41000,9.38080820e-01,2.18928903e-04,5.33744319e+02
1.42000,9.38085936e-01,2.18931523e-04,5.33751176e+02
1.43000,9.38091052e-01,2.18934143e-04,5.33758032e+02
1.44000,9.38096167e-01,2.18936763e-04,5.33764889e+02
1.45000,9.38101282e-01,2.18939382e-04,5.33771746e+02
1.46000,9.38106398e-01,2.18942002e-04,5.33778603e+02
1.47000,9.38111512e-01,2.18944622e-04,5.33785459e+02
1.48000,9.38116627e-01,2.18947241e-04,5.33792316e+02
1.49000,9.38121742e-01,2.18949861e-04,5.33799173e+02
1.50000,9.38126856e-01,2.18952480e-04,5.33806030e+02
1.51000,9.38131971e-01,2.18955100e-04,5.33812888e+02
1.52000,9.38137085e-01,2.18957719e-04,5.33819745e+02
1.53000,9.38142199e-01,2.18960338e-04,5.33826602e+02
1.54000,9.38147312e-01,2.18962958e-04,5.33833460e+02
1.55000,9.38152426e-01,2.18965577e-04,5.33840317e+02
1.56000,9.38157539e-01,2.18968196e-04,5.33847175e+02
1.57000,9.38162652e-01,2.18970815e-04,5.33854032e+02
1.58000,9.38167765e-01,2.18973434e-04,5.33860890e+02
1.59000,9.38172878e-01,2.18976054e-04,5.33867748e+02
1.60000,9.38177991e-01,2.18978673e-04,5.33874605e+02
1.61000,9.38183103e-01,2.18981292e-04,5.33881463e+02
1.62000,9.38188216e-01,2.18983911e-04,5.33888321e+02
1.63000,9.38193328e-01,2.18986529e-04,5.33895179e+02
1.64000,9.38198440e-01,2.18989148e-04,5.33902038e+02
1.65000,9.38203552e-01,2.18991767e-04,5.33908896e+02
1.66000,9.38208663e-01,2.18994386e-04,5.33915754e+02
1.67000,9.38213775e-01,2.18997005e-04,5.33922612e+02
1.68000,9.38218886e-01,2.18999623e-04,5.33929471e+02
1.69000,9.38223997e-01,2.19002242e-04,5.33936329e+02
1.70000,9.38229108e-01,2.19004861e-04,5.33943188e+02
1.71000,9.38234219e-01,2.19007479e-04,5.33950047e+02
1.72000,9.38239329e-01,2.19010098e-04,5.33956905e+02
1.73000,9.38244440e-01,2.19012716e-04,5.33963764e+02
1.74000,9.38249550e-01,2.19015335e-04,5.33970623e+02
1.75000,9.38254660e-01,2.19017953e-04,5.33977482e+02
1.76000,9.38259770e-01,2.19020571e-04,5.33984341e+02
1.77000,9.38264880e-01,2.19023190e-04,5.33991200e+02
1.78000,9.38269989e-01,2.19025808e-04,5.33998059e+02
1.79000,9.38275099e-01,2.19028426e-04,5.34004919e+02
1.80000,9.38280208e-01,2.19031044e-04,5.34011778e+02
1.81000,9.38285317e-01,2.19033662e-04,5.34018637e+02
1.82000,9.38290426e-01,2.19036280e-04,5.34025497e+02
1.83000,9.38295534e-01,2.19038899e-04,5.34032356e+02
1.84000,9.38300643e-01,2.19041517e-04,5.34039216e+02
1.85000,9.38305751e-01,2.19044134e-04,5.34046076e+02
1.86000,9.38310859e-01,2.19046752e-04,5.34052935e+02
1.87000,9.38315967e-01,2.19049370e-04,5.34059795e+02
1.88000,9.38321075e-01,2.19051988e-04,5.34066655e+02
1.89000,9.38326182e-01,2.19054606e-04,5.34073515e+02
1.90000,9.38331290e-01,2.19057224e-04,5.34080375e+02
1.91000,9.38336397e-01,2.19059841e-04,5.34087235e+02
1.92000,9.38341504e-01,2.19062459e-04,5.34094096e+02
1.93000,9.38346611e-01,2.19065077e-04,5.34100956e+02
1.94000,9.38351718e-01,2.19067694e-04,5.34107816e+02
1.95000,9.38356824e-01,2.19070312e-04,5.34114677e+02
1.96000,9.38361931e-01,2.19072929e-04,5.34121537e+02
1.97000,9.38367037e-01,2.19075547e-04,5.34128398e+02
1.98000,9.38372143e-01,2.19078164e-04,5.34135259e+02
1.99000,9.38377249e-01,2.19080781e-04,5.34142119e+02
2.00000,9.38382354e-01,2.19083399e-04,5.34148980e+02
2.01000,9.38387460e-01,2.19086016e-04,5.34155841e+02
2.02000,9.38392565e-01,2.19088633e-04,5.34162702e+02
2.03000,9.38397670e-01,2.19091250e-04,5.34169563e+02
2.04000,9.38402775e-01,2.19093867e-04,5.34176424e+02
2.05000,9.38407880e-01,2.19096485e-04,5.34183285e+02
2.06000,9.38412985e-01,2.19099102e-04,5.34190147e+02
2.07000,9.38418089e-01,2.19101719e-04,5.34197008e+02
2.08000,9.38423194e-01,2.19104336e-04,5.34203869e+02
2.09000,9.38428298e-01,2.19106953e-04,5.34210731e+02
2.10000,9.38433402e-01,2.19109569e-04,5.34217592e+02
2.11000,9.38438505e-01,2.19112186e-04,5.34224454e+02
2.12000,9.38443609e-01,2.19114803e-04,5.34231316e+02
2.13000,9.38448712e-01,2.19117420e-04,5.34238178e+02
2.14000,9.38453816e-01,2.19120037e-04,5.34245040e+02
2.15000,9.38458919e-01,2.19122653e-04,5.34251901e+02
2.16000,9.38464022e-01,2.19125270e-04,5.34258763e+02
