size,8,32,128,256,512,1024
cg_none,0:0.798,0:0.240,0:0.451,0:1.588,0:10.190,1:13.899
cg_jacobi,0:0.236,0:0.241,0:0.446,0:1.595,0:10.166,1:13.554
cg_sor,0:0.237,0:0.239,0:0.312,0:0.572,0:2.202,0:17.286
cg_ilu,0:0.228,0:0.223,0:0.278,0:0.502,0:2.071,0:13.455
cg_icc,0:0.226,0:0.227,0:0.277,0:0.489,0:2.084,0:13.844
cg_gamg,0:0.355,0:0.242,0:0.285,0:0.420,0:1.035,0:4.030
gmres_none,0:0.248,0:0.256,0:0.672,0:5.424,1:5.640,21:29.856
gmres_jacobi,0:0.253,0:0.254,0:0.676,0:5.425,1:12.788,18:32.954
gmres_sor,0:0.253,0:0.247,0:0.394,0:1.560,0:14.323,2:56.528
gmres_ilu,0:0.231,0:0.233,0:0.361,0:1.499,0:15.052,2:57.825
gmres_icc,0:0.231,0:0.234,0:0.362,0:1.572,0:15.635,3:8.280
gmres_gamg,0:0.251,0:0.257,0:0.301,0:0.446,0:1.139,0:3.674
