size,8,32,128,256,512,1024
cg_none,0:0.252,0:0.254,0:0.465,0:1.699,0:10.739,1:19.469
cg_jacobi,0:0.245,0:0.252,0:0.461,0:1.661,0:10.760,1:20.450
cg_sor,0:0.249,0:0.247,0:0.322,0:0.615,0:2.554,0:19.400
cg_ilu,0:0.236,0:0.232,0:0.303,0:0.581,0:2.643,0:15.892
cg_icc,0:0.231,0:0.237,0:0.315,0:0.575,0:2.648,0:17.126
cg_gamg,0:0.249,0:0.253,0:0.299,0:0.440,0:1.165,0:4.547
gmres_none,0:0.276,0:0.264,0:0.660,0:6.312,1:1.888,3:42.557
gmres_jacobi,0:0.267,0:0.253,0:0.664,0:6.276,1:1.133,3:45.414
gmres_sor,0:0.260,0:0.251,0:0.337,0:1.777,0:13.774,2:23.809
gmres_ilu,0:0.240,0:0.235,0:0.483,0:1.601,0:19.924,4:5.371
gmres_icc,0:0.238,0:0.226,0:0.326,0:2.516,0:20.954,4:14.731
gmres_gamg,0:0.257,0:0.252,0:0.297,0:0.450,0:1.090,0:3.744
